"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Aug 25 16:11:04 GMT 2021","Wed Aug 25 16:11:04 GMT 2021","733","chrome-hd","completed.spec.js","Saucedemo CompletedPage:  @completed","","","should have a thank you header message",""
"passed","Wed Aug 25 16:09:48 GMT 2021","Wed Aug 25 16:09:50 GMT 2021","1738","chromium-hd","e2e.spec.js","Saucedemo E2E: @e2e","","","User should be able to complete a purchase @e2e-purchase",""
"passed","Wed Aug 25 16:10:24 GMT 2021","Wed Aug 25 16:10:25 GMT 2021","837","chromium-fhd","completed.spec.js","Saucedemo CompletedPage:  @completed","","","should have a completed order image",""
"passed","Wed Aug 25 16:10:00 GMT 2021","Wed Aug 25 16:10:01 GMT 2021","721","chromium-hd","login.spec.js","Saucedemo LoginPage: @login","","","should show username and password doesn't match",""
"passed","Wed Aug 25 16:11:31 GMT 2021","Wed Aug 25 16:11:32 GMT 2021","1654","chrome-hd","inventory.spec.js","Saucedemo InventoryPage: @inventory","","","should have LinkedIn link on footer",""
"passed","Wed Aug 25 16:09:59 GMT 2021","Wed Aug 25 16:10:00 GMT 2021","757","chromium-hd","login.spec.js","Saucedemo LoginPage: @login","","","should show username is required error",""
"passed","Wed Aug 25 16:12:14 GMT 2021","Wed Aug 25 16:12:15 GMT 2021","903","chrome-fhd","overview.spec.js","Saucedemo OverviewPage: @overview","","","should have the payment card information",""
"passed","Wed Aug 25 16:10:30 GMT 2021","Wed Aug 25 16:10:32 GMT 2021","1838","chromium-fhd","inventory.spec.js","Saucedemo InventoryPage: @inventory","","","should show a list of items @smoke",""
"passed","Wed Aug 25 16:10:55 GMT 2021","Wed Aug 25 16:10:56 GMT 2021","878","chrome-hd","cart.spec.js","Saucedemo CartPage: @cart","","","should be at Checkout page when click at the checkout button",""
"passed","Wed Aug 25 16:10:36 GMT 2021","Wed Aug 25 16:10:36 GMT 2021","788","chromium-fhd","login.spec.js","Saucedemo LoginPage: @login","","","should show accepted users",""
"passed","Wed Aug 25 16:11:47 GMT 2021","Wed Aug 25 16:11:47 GMT 2021","854","chrome-fhd","completed.spec.js","Saucedemo CompletedPage:  @completed","","","should have a thank you header message",""
"passed","Wed Aug 25 16:09:53 GMT 2021","Wed Aug 25 16:09:55 GMT 2021","1767","chromium-hd","inventoryDetails.spec.js","Saucedemo InventoryPage: @details","","","should navigate to product's detail page when clicking at it",""
"passed","Wed Aug 25 16:10:20 GMT 2021","Wed Aug 25 16:10:20 GMT 2021","758","chromium-fhd","completed.spec.js","Saucedemo CompletedPage:  @completed","","","should be at Completed page",""
"passed","Wed Aug 25 16:10:43 GMT 2021","Wed Aug 25 16:10:45 GMT 2021","2089","chromium-fhd","inventory.spec.js","Saucedemo InventoryPage: @inventory","","","should have Twitter link on footer",""
"passed","Wed Aug 25 16:10:20 GMT 2021","Wed Aug 25 16:10:22 GMT 2021","1579","chromium-fhd","completed.spec.js","Saucedemo CompletedPage:  @completed","","","should be back at Inventory page when click at the Back Home button",""
"passed","Wed Aug 25 16:10:10 GMT 2021","Wed Aug 25 16:10:10 GMT 2021","764","chromium-hd","overview.spec.js","Saucedemo OverviewPage: @overview","","","should have the total calculated as subtotal + tax",""
"passed","Wed Aug 25 16:12:02 GMT 2021","Wed Aug 25 16:12:02 GMT 2021","752","chrome-fhd","login.spec.js","Saucedemo LoginPage: @login","","","should be at the login url",""
"passed","Wed Aug 25 16:11:50 GMT 2021","Wed Aug 25 16:11:53 GMT 2021","2193","chrome-fhd","inventory.spec.js","Saucedemo InventoryPage: @inventory","","","should be at Inventory page after login",""
"passed","Wed Aug 25 16:10:58 GMT 2021","Wed Aug 25 16:10:59 GMT 2021","936","chrome-hd","checkout.spec.js","Saucedemo CheckoutPage: @checkout","","","should show lastName error message if empty",""
"passed","Wed Aug 25 16:11:20 GMT 2021","Wed Aug 25 16:11:22 GMT 2021","1993","chrome-hd","login.spec.js","Saucedemo LoginPage: @login","","","should navigate to inventory page after successful login @smoke",""
"passed","Wed Aug 25 16:11:10 GMT 2021","Wed Aug 25 16:11:12 GMT 2021","2619","chrome-hd","inventoryDetails.spec.js","Saucedemo InventoryPage: @details","","","should be at Inventory page when clicking at the back to products",""
"passed","Wed Aug 25 16:10:26 GMT 2021","Wed Aug 25 16:10:28 GMT 2021","1999","chromium-fhd","e2e.spec.js","Saucedemo E2E: @e2e","","","User should be able to complete a purchase @e2e-purchase",""
"passed","Wed Aug 25 16:10:15 GMT 2021","Wed Aug 25 16:10:16 GMT 2021","1750","chromium-fhd","cart.spec.js","Saucedemo CartPage: @cart","","","should be possible to add an item into the cart @smoke",""
"passed","Wed Aug 25 16:12:16 GMT 2021","Wed Aug 25 16:12:16 GMT 2021","875","chrome-fhd","overview.spec.js","Saucedemo OverviewPage: @overview","","","should have the subtotal (total before tax)",""
"passed","Wed Aug 25 16:10:35 GMT 2021","Wed Aug 25 16:10:37 GMT 2021","1756","chromium-fhd","inventory.spec.js","Saucedemo InventoryPage: @inventory","","","should be possible to sort items prices from Low to High",""
"passed","Wed Aug 25 16:09:47 GMT 2021","Wed Aug 25 16:09:49 GMT 2021","2174","chromium-hd","cart.spec.js","Saucedemo CartPage: @cart","","","should back at Invetory page when clicking at the all items link on menu",""
"passed","Wed Aug 25 16:12:12 GMT 2021","Wed Aug 25 16:12:13 GMT 2021","1018","chrome-fhd","overview.spec.js","Saucedemo OverviewPage: @overview","","","should be at Completed page when click at the finish button",""
"passed","Wed Aug 25 16:12:03 GMT 2021","Wed Aug 25 16:12:04 GMT 2021","693","chrome-fhd","login.spec.js","Saucedemo LoginPage: @login","","","should show application password ",""
"passed","Wed Aug 25 16:11:04 GMT 2021","Wed Aug 25 16:11:05 GMT 2021","886","chrome-hd","completed.spec.js","Saucedemo CompletedPage:  @completed","","","should have a completed order message",""
"passed","Wed Aug 25 16:10:11 GMT 2021","Wed Aug 25 16:10:13 GMT 2021","1877","chromium-fhd","cart.spec.js","Saucedemo CartPage: @cart","","","should be back at Inventory page when click at the continue shopping button",""
"passed","Wed Aug 25 16:11:25 GMT 2021","Wed Aug 25 16:11:26 GMT 2021","905","chrome-hd","overview.spec.js","Saucedemo OverviewPage: @overview","","","should be at Completed page when click at the finish button",""
"passed","Wed Aug 25 16:11:34 GMT 2021","Wed Aug 25 16:11:36 GMT 2021","2158","chrome-hd","inventory.spec.js","Saucedemo InventoryPage: @inventory","","","should have Copyright text on footer",""
"passed","Wed Aug 25 16:10:09 GMT 2021","Wed Aug 25 16:10:11 GMT 2021","1731","chromium-hd","inventory.spec.js","Saucedemo InventoryPage: @inventory","","","should have Swag Bot image on footer",""
"passed","Wed Aug 25 16:11:36 GMT 2021","Wed Aug 25 16:11:39 GMT 2021","2189","chrome-fhd","cart.spec.js","Saucedemo CartPage: @cart","","","should be possible to add an item into the cart @smoke",""
"passed","Wed Aug 25 16:11:29 GMT 2021","Wed Aug 25 16:11:29 GMT 2021","840","chrome-hd","overview.spec.js","Saucedemo OverviewPage: @overview","","","should have the subtotal (total before tax)",""
"passed","Wed Aug 25 16:12:06 GMT 2021","Wed Aug 25 16:12:09 GMT 2021","2254","chrome-fhd","login.spec.js","Saucedemo LoginPage: @login","","","should navigate to inventory page after successful login @smoke",""
"passed","Wed Aug 25 16:10:18 GMT 2021","Wed Aug 25 16:10:20 GMT 2021","1926","chromium-fhd","cart.spec.js","Saucedemo CartPage: @cart","","","should be possible to close sidemenu clicking at the X button @slow",""
"passed","Wed Aug 25 16:09:52 GMT 2021","Wed Aug 25 16:09:53 GMT 2021","1963","chromium-hd","inventoryDetails.spec.js","Saucedemo InventoryPage: @details","","","should be at Inventory page when clicking at the back to products",""
"passed","Wed Aug 25 16:10:39 GMT 2021","Wed Aug 25 16:10:41 GMT 2021","1602","chromium-fhd","login.spec.js","Saucedemo LoginPage: @login","","","should navigate to inventory page after successful login @smoke",""
"passed","Wed Aug 25 16:10:02 GMT 2021","Wed Aug 25 16:10:03 GMT 2021","832","chromium-hd","overview.spec.js","Saucedemo OverviewPage: @overview","","","should be at Overview page",""
"passed","Wed Aug 25 16:10:48 GMT 2021","Wed Aug 25 16:10:49 GMT 2021","1121","chromium-fhd","overview.spec.js","Saucedemo OverviewPage: @overview","","","should have the subtotal (total before tax)",""
"passed","Wed Aug 25 16:11:22 GMT 2021","Wed Aug 25 16:11:24 GMT 2021","2349","chrome-hd","inventory.spec.js","Saucedemo InventoryPage: @inventory","","","should be possible to add product to cart @smoke",""
"passed","Wed Aug 25 16:11:26 GMT 2021","Wed Aug 25 16:11:27 GMT 2021","824","chrome-hd","overview.spec.js","Saucedemo OverviewPage: @overview","","","should have the added items on the Overview Checkout @smoke",""
"passed","Wed Aug 25 16:11:20 GMT 2021","Wed Aug 25 16:11:22 GMT 2021","1857","chrome-hd","inventory.spec.js","Saucedemo InventoryPage: @inventory","","","should be possible to sort items prices from High to Low",""
"passed","Wed Aug 25 16:10:35 GMT 2021","Wed Aug 25 16:10:36 GMT 2021","560","chromium-fhd","login.spec.js","Saucedemo LoginPage: @login","","","should be at the login url",""
"passed","Wed Aug 25 16:09:39 GMT 2021","Wed Aug 25 16:09:40 GMT 2021","860","chromium-hd","cart.spec.js","Saucedemo CartPage: @cart","","","should match cart badge with items in cart",""
"passed","Wed Aug 25 16:11:14 GMT 2021","Wed Aug 25 16:11:16 GMT 2021","1937","chrome-hd","inventory.spec.js","Saucedemo InventoryPage: @inventory","","","should show items sorted alphabetically",""
"passed","Wed Aug 25 16:09:46 GMT 2021","Wed Aug 25 16:09:47 GMT 2021","1576","chromium-hd","cart.spec.js","Saucedemo CartPage: @cart","","","should remove cart items when clicking at the reset state link on menu",""
"passed","Wed Aug 25 16:12:05 GMT 2021","Wed Aug 25 16:12:06 GMT 2021","978","chrome-fhd","login.spec.js","Saucedemo LoginPage: @login","","","should show username and password doesn't match",""
"passed","Wed Aug 25 16:11:40 GMT 2021","Wed Aug 25 16:11:42 GMT 2021","1166","chrome-fhd","checkout.spec.js","Saucedemo CheckoutPage: @checkout","","","should show lastName error message if empty",""
"passed","Wed Aug 25 16:10:01 GMT 2021","Wed Aug 25 16:10:03 GMT 2021","1461","chromium-hd","inventory.spec.js","Saucedemo InventoryPage: @inventory","","","should be possible to add product to cart @smoke",""
"passed","Wed Aug 25 16:10:46 GMT 2021","Wed Aug 25 16:10:47 GMT 2021","910","chromium-fhd","overview.spec.js","Saucedemo OverviewPage: @overview","","","should have the payment card information",""
"passed","Wed Aug 25 16:12:05 GMT 2021","Wed Aug 25 16:12:08 GMT 2021","2456","chrome-fhd","inventory.spec.js","Saucedemo InventoryPage: @inventory","","","should be possible to add product to cart @smoke",""
"passed","Wed Aug 25 16:11:42 GMT 2021","Wed Aug 25 16:11:43 GMT 2021","882","chrome-fhd","checkout.spec.js","Saucedemo CheckoutPage: @checkout","","","should show postalCode error message if empty",""
"passed","Wed Aug 25 16:11:37 GMT 2021","Wed Aug 25 16:11:38 GMT 2021","1067","chrome-fhd","checkout.spec.js","Saucedemo CheckoutPage: @checkout","","","should be at Checkout page",""
"passed","Wed Aug 25 16:10:16 GMT 2021","Wed Aug 25 16:10:18 GMT 2021","1040","chromium-fhd","checkout.spec.js","Saucedemo CheckoutPage: @checkout","","","should show lastName error message if empty",""
"passed","Wed Aug 25 16:11:43 GMT 2021","Wed Aug 25 16:11:45 GMT 2021","1710","chrome-fhd","cart.spec.js","Saucedemo CartPage: @cart","","","should remove cart items when clicking at the reset state link on menu",""
"passed","Wed Aug 25 16:10:39 GMT 2021","Wed Aug 25 16:10:41 GMT 2021","1661","chromium-fhd","inventory.spec.js","Saucedemo InventoryPage: @inventory","","","should be possible to add product to cart @smoke",""
"passed","Wed Aug 25 16:10:22 GMT 2021","Wed Aug 25 16:10:24 GMT 2021","2263","chromium-fhd","cart.spec.js","Saucedemo CartPage: @cart","","","should back at Invetory page when clicking at the all items link on menu",""
"passed","Wed Aug 25 16:10:47 GMT 2021","Wed Aug 25 16:10:48 GMT 2021","1252","chromium-fhd","overview.spec.js","Saucedemo OverviewPage: @overview","","","should have the shipping information",""
"passed","Wed Aug 25 16:09:36 GMT 2021","Wed Aug 25 16:09:38 GMT 2021","1970","chromium-hd","cart.spec.js","Saucedemo CartPage: @cart","","","should be back at Inventory page when click at the continue shopping button",""
"passed","Wed Aug 25 16:11:16 GMT 2021","Wed Aug 25 16:11:17 GMT 2021","1228","chrome-hd","inventoryDetails.spec.js","Saucedemo InventoryPage: @details","","","should be possible to remove the product from cart",""
"passed","Wed Aug 25 16:12:02 GMT 2021","Wed Aug 25 16:12:03 GMT 2021","705","chrome-fhd","login.spec.js","Saucedemo LoginPage: @login","","","should show accepted users",""
"passed","Wed Aug 25 16:10:25 GMT 2021","Wed Aug 25 16:10:26 GMT 2021","1833","chromium-fhd","e2e.spec.js","Saucedemo E2E: @e2e","","","User should be able to login with a valid credentials @e2e-login",""
"passed","Wed Aug 25 16:10:34 GMT 2021","Wed Aug 25 16:10:35 GMT 2021","1842","chromium-fhd","inventory.spec.js","Saucedemo InventoryPage: @inventory","","","should be possible to sort items from Z to A",""
"passed","Wed Aug 25 16:10:45 GMT 2021","Wed Aug 25 16:10:46 GMT 2021","1179","chromium-fhd","overview.spec.js","Saucedemo OverviewPage: @overview","","","should have the added items on the Overview Checkout @smoke",""
"passed","Wed Aug 25 16:09:43 GMT 2021","Wed Aug 25 16:09:44 GMT 2021","1671","chromium-hd","completed.spec.js","Saucedemo CompletedPage:  @completed","","","should be back at Inventory page when click at the Back Home button",""
"passed","Wed Aug 25 16:10:14 GMT 2021","Wed Aug 25 16:10:15 GMT 2021","1001","chromium-fhd","cart.spec.js","Saucedemo CartPage: @cart","","","should match cart badge with items in cart",""
"passed","Wed Aug 25 16:11:49 GMT 2021","Wed Aug 25 16:11:50 GMT 2021","1757","chrome-fhd","cart.spec.js","Saucedemo CartPage: @cart","","","should be at Login page when clicking at the logout link on menu",""
"passed","Wed Aug 25 16:11:11 GMT 2021","Wed Aug 25 16:11:12 GMT 2021","1352","chrome-hd","inventory.spec.js","Saucedemo InventoryPage: @inventory","","","should be at Cart page when clicking at the cart button",""
"passed","Wed Aug 25 16:11:45 GMT 2021","Wed Aug 25 16:11:47 GMT 2021","2873","chrome-fhd","cart.spec.js","Saucedemo CartPage: @cart","","","should back at Invetory page when clicking at the all items link on menu",""
"passed","Wed Aug 25 16:09:53 GMT 2021","Wed Aug 25 16:09:54 GMT 2021","1670","chromium-hd","inventory.spec.js","Saucedemo InventoryPage: @inventory","","","should show a list of items @smoke",""
"passed","Wed Aug 25 16:12:12 GMT 2021","Wed Aug 25 16:12:14 GMT 2021","2435","chrome-fhd","inventory.spec.js","Saucedemo InventoryPage: @inventory","","","should have Facebook link on footer",""
"passed","Wed Aug 25 16:10:13 GMT 2021","Wed Aug 25 16:10:15 GMT 2021","1350","chromium-fhd","checkout.spec.js","Saucedemo CheckoutPage: @checkout","","","should be at Checkout page",""
"passed","Wed Aug 25 16:10:42 GMT 2021","Wed Aug 25 16:10:44 GMT 2021","2104","chromium-fhd","overview.spec.js","Saucedemo OverviewPage: @overview","","","should be back at Inventory page when click at the cancel button",""
"passed","Wed Aug 25 16:10:07 GMT 2021","Wed Aug 25 16:10:08 GMT 2021","774","chromium-hd","overview.spec.js","Saucedemo OverviewPage: @overview","","","should have the shipping information",""
"passed","Wed Aug 25 16:12:01 GMT 2021","Wed Aug 25 16:12:03 GMT 2021","2044","chrome-fhd","inventory.spec.js","Saucedemo InventoryPage: @inventory","","","should be possible to sort items prices from Low to High",""
"passed","Wed Aug 25 16:10:06 GMT 2021","Wed Aug 25 16:10:07 GMT 2021","839","chromium-hd","overview.spec.js","Saucedemo OverviewPage: @overview","","","should have the added items on the Overview Checkout @smoke",""
"passed","Wed Aug 25 16:11:56 GMT 2021","Wed Aug 25 16:11:59 GMT 2021","2505","chrome-fhd","inventoryDetails.spec.js","Saucedemo InventoryPage: @details","","","should navigate to product's detail page when clicking at it",""
"passed","Wed Aug 25 16:10:01 GMT 2021","Wed Aug 25 16:10:02 GMT 2021","1585","chromium-hd","login.spec.js","Saucedemo LoginPage: @login","","","should navigate to inventory page after successful login @smoke",""
"passed","Wed Aug 25 16:10:34 GMT 2021","Wed Aug 25 16:10:35 GMT 2021","1369","chromium-fhd","inventoryDetails.spec.js","Saucedemo InventoryPage: @details","","","should be possible to remove the product from cart",""
"passed","Wed Aug 25 16:11:39 GMT 2021","Wed Aug 25 16:11:40 GMT 2021","1100","chrome-fhd","cart.spec.js","Saucedemo CartPage: @cart","","","should be possible to remove product from cart",""
"passed","Wed Aug 25 16:09:57 GMT 2021","Wed Aug 25 16:09:58 GMT 2021","441","chromium-hd","login.spec.js","Saucedemo LoginPage: @login","","","should be at the login url",""
"passed","Wed Aug 25 16:10:56 GMT 2021","Wed Aug 25 16:10:59 GMT 2021","2188","chrome-hd","cart.spec.js","Saucedemo CartPage: @cart","","","should be possible to add an item into the cart @smoke",""
"passed","Wed Aug 25 16:10:59 GMT 2021","Wed Aug 25 16:11:00 GMT 2021","922","chrome-hd","cart.spec.js","Saucedemo CartPage: @cart","","","should be possible to remove product from cart",""
"passed","Wed Aug 25 16:09:38 GMT 2021","Wed Aug 25 16:09:38 GMT 2021","860","chromium-hd","checkout.spec.js","Saucedemo CheckoutPage: @checkout","","","should go back to Cart if cancel checkout",""
"passed","Wed Aug 25 16:10:11 GMT 2021","Wed Aug 25 16:10:13 GMT 2021","1677","chromium-hd","inventory.spec.js","Saucedemo InventoryPage: @inventory","","","should have Copyright text on footer",""
"passed","Wed Aug 25 16:11:02 GMT 2021","Wed Aug 25 16:11:04 GMT 2021","1649","chrome-hd","completed.spec.js","Saucedemo CompletedPage:  @completed","","","should be back at Inventory page when click at the Back Home button",""
"passed","Wed Aug 25 16:10:24 GMT 2021","Wed Aug 25 16:10:25 GMT 2021","1074","chromium-fhd","cart.spec.js","Saucedemo CartPage: @cart","","","should navigate to SauceLabs page when clicking at the about link on menu @slow",""
"passed","Wed Aug 25 16:09:38 GMT 2021","Wed Aug 25 16:09:39 GMT 2021","788","chromium-hd","checkout.spec.js","Saucedemo CheckoutPage: @checkout","","","should show firstName error message if empty",""
"passed","Wed Aug 25 16:11:48 GMT 2021","Wed Aug 25 16:11:50 GMT 2021","1063","chrome-fhd","completed.spec.js","Saucedemo CompletedPage:  @completed","","","should have a completed order image",""
"passed","Wed Aug 25 16:12:09 GMT 2021","Wed Aug 25 16:12:10 GMT 2021","968","chrome-fhd","overview.spec.js","Saucedemo OverviewPage: @overview","","","should be at Overview page",""
"passed","Wed Aug 25 16:10:18 GMT 2021","Wed Aug 25 16:10:19 GMT 2021","1125","chromium-fhd","checkout.spec.js","Saucedemo CheckoutPage: @checkout","","","should show postalCode error message if empty",""
"passed","Wed Aug 25 16:10:38 GMT 2021","Wed Aug 25 16:10:39 GMT 2021","668","chromium-fhd","login.spec.js","Saucedemo LoginPage: @login","","","should show username and password doesn't match",""
"passed","Wed Aug 25 16:11:12 GMT 2021","Wed Aug 25 16:11:14 GMT 2021","2098","chrome-hd","inventoryDetails.spec.js","Saucedemo InventoryPage: @details","","","should navigate to product's detail page when clicking at it",""
"passed","Wed Aug 25 16:09:43 GMT 2021","Wed Aug 25 16:09:44 GMT 2021","912","chromium-hd","cart.spec.js","Saucedemo CartPage: @cart","","","should be possible to open sidemenu @slow @smoke",""
"passed","Wed Aug 25 16:11:16 GMT 2021","Wed Aug 25 16:11:18 GMT 2021","1712","chrome-hd","inventory.spec.js","Saucedemo InventoryPage: @inventory","","","should be possible to sort items from Z to A",""
"passed","Wed Aug 25 16:09:42 GMT 2021","Wed Aug 25 16:09:43 GMT 2021","790","chromium-hd","completed.spec.js","Saucedemo CompletedPage:  @completed","","","should be at Completed page",""
"passed","Wed Aug 25 16:09:56 GMT 2021","Wed Aug 25 16:09:57 GMT 2021","1153","chromium-hd","inventoryDetails.spec.js","Saucedemo InventoryPage: @details","","","should be possible to remove the product from cart",""
"passed","Wed Aug 25 16:10:45 GMT 2021","Wed Aug 25 16:10:47 GMT 2021","2332","chromium-fhd","inventory.spec.js","Saucedemo InventoryPage: @inventory","","","should have Facebook link on footer",""
"passed","Wed Aug 25 16:11:12 GMT 2021","Wed Aug 25 16:11:14 GMT 2021","2088","chrome-hd","inventory.spec.js","Saucedemo InventoryPage: @inventory","","","should show a list of items @smoke",""
"passed","Wed Aug 25 16:10:37 GMT 2021","Wed Aug 25 16:10:38 GMT 2021","949","chromium-fhd","login.spec.js","Saucedemo LoginPage: @login","","","should show username is required error",""
"passed","Wed Aug 25 16:11:18 GMT 2021","Wed Aug 25 16:11:18 GMT 2021","551","chrome-hd","login.spec.js","Saucedemo LoginPage: @login","","","should show application password ",""
"passed","Wed Aug 25 16:10:52 GMT 2021","Wed Aug 25 16:10:54 GMT 2021","2061","chromium-fhd","inventory.spec.js","Saucedemo InventoryPage: @inventory","","","should have Copyright text on footer",""
"passed","Wed Aug 25 16:11:32 GMT 2021","Wed Aug 25 16:11:34 GMT 2021","1880","chrome-hd","inventory.spec.js","Saucedemo InventoryPage: @inventory","","","should have Swag Bot image on footer",""
"passed","Wed Aug 25 16:09:58 GMT 2021","Wed Aug 25 16:09:59 GMT 2021","380","chromium-hd","login.spec.js","Saucedemo LoginPage: @login","","","should show application password ",""
"passed","Wed Aug 25 16:10:27 GMT 2021","Wed Aug 25 16:10:28 GMT 2021","1748","chromium-fhd","inventory.spec.js","Saucedemo InventoryPage: @inventory","","","should be at Inventory page after login",""
"passed","Wed Aug 25 16:10:07 GMT 2021","Wed Aug 25 16:10:07 GMT 2021","788","chromium-hd","overview.spec.js","Saucedemo OverviewPage: @overview","","","should have the payment card information",""
"passed","Wed Aug 25 16:09:41 GMT 2021","Wed Aug 25 16:09:42 GMT 2021","960","chromium-hd","checkout.spec.js","Saucedemo CheckoutPage: @checkout","","","should go to Checkout Overview page @smoke",""
"passed","Wed Aug 25 16:11:54 GMT 2021","Wed Aug 25 16:11:56 GMT 2021","2302","chrome-fhd","inventoryDetails.spec.js","Saucedemo InventoryPage: @details","","","should be at Inventory page when clicking at the back to products",""
"passed","Wed Aug 25 16:11:43 GMT 2021","Wed Aug 25 16:11:44 GMT 2021","1312","chrome-fhd","checkout.spec.js","Saucedemo CheckoutPage: @checkout","","","should go to Checkout Overview page @smoke",""
"passed","Wed Aug 25 16:11:27 GMT 2021","Wed Aug 25 16:11:28 GMT 2021","803","chrome-hd","overview.spec.js","Saucedemo OverviewPage: @overview","","","should have the payment card information",""
"passed","Wed Aug 25 16:09:46 GMT 2021","Wed Aug 25 16:09:47 GMT 2021","793","chromium-hd","completed.spec.js","Saucedemo CompletedPage:  @completed","","","should have a completed order image",""
"passed","Wed Aug 25 16:12:03 GMT 2021","Wed Aug 25 16:12:05 GMT 2021","2001","chrome-fhd","inventory.spec.js","Saucedemo InventoryPage: @inventory","","","should be possible to sort items prices from High to Low",""
"passed","Wed Aug 25 16:10:37 GMT 2021","Wed Aug 25 16:10:39 GMT 2021","1898","chromium-fhd","inventory.spec.js","Saucedemo InventoryPage: @inventory","","","should be possible to sort items prices from High to Low",""
